Disease,AUC,Positive_Samples,Mean_AUC
Atelectasis,0.5960708202654166,994.0,0.6913928405612815
Cardiomegaly,0.6337673858046278,939.0,0.6913928405612815
Consolidation,0.6547429233870266,854.0,0.6913928405612815
Edema,0.8508703273221025,851.0,0.6913928405612815
Effusion,0.6216511067795656,1063.0,0.6913928405612815
Emphysema,0.6633107006445196,867.0,0.6913928405612815
Fibrosis,0.7791456309629698,997.0,0.6913928405612815
Hernia,0.8796266669169213,1091.0,0.6913928405612815
Infiltration,0.6072165518678082,1154.0,0.6913928405612815
Mass,0.6013928175615559,1121.0,0.6913928405612815
Nodule,0.6560304058279275,1143.0,0.6913928405612815
No Finding,0.7547735457752988,1070.0,0.6913928405612815
Pleural_Thickening,0.6118918008218064,977.0,0.6913928405612815
Pneumonia,0.824537377829164,1193.0,0.6913928405612815
Pneumothorax,0.6358645466525095,973.0,0.6913928405612815
